country,R0,generation_time,airport_detection_prob,icu_sampling_proportion,airport_mean_detection_time,airport_std_detection_time,airport_mean_local_cases,airport_detection_rate,icu_mean_detection_time,icu_std_detection_time,icu_mean_local_cases,icu_detection_rate
Paraguay,1.5,4.0,0.04,0.1,91.10752688172043,9.617084396815137,20.838709677419356,0.93,96.78155958710408,8.71989854587304,35.75609756097561,0.82
South Korea,1.5,4.0,0.04,0.1,78.55,6.382385798809758,32.88,1.0,85.21783024022214,11.778938325038023,66.0,1.0
Switzerland,1.5,4.0,0.04,0.1,37.81,10.37157634882933,32.17,1.0,47.64938532079687,16.546945518163714,59.99,1.0
Paraguay,1.5,4.0,0.08,0.1,87.91919191919192,8.434231474463573,13.98989898989899,0.99,95.43516220792112,9.699704569516854,33.8,0.9
South Korea,1.5,4.0,0.08,0.1,70.87,10.239214576886019,12.42,1.0,85.03238019817876,13.384415592131683,52.49,1.0
Switzerland,1.5,4.0,0.08,0.1,34.18,10.014514718672345,15.74,1.0,49.737602473673945,16.382128378280274,55.88,1.0
Paraguay,1.5,4.0,0.16,0.1,82.49,9.719806914987894,5.93,1.0,93.47743349981108,11.97254381646961,25.52127659574468,0.94
South Korea,1.5,4.0,0.16,0.1,66.39,10.609596380331126,6.18,1.0,85.01752575080927,13.24555871452831,44.9,1.0
Switzerland,1.5,4.0,0.16,0.1,29.0,9.93412646823407,6.06,1.0,49.400805087950594,17.506519992934614,48.14,1.0
Paraguay,1.5,6.0,0.04,0.1,90.57142857142857,13.125765283811619,0.5714285714285714,0.07,92.43557528126728,16.969806021719158,1.4,0.05
South Korea,1.5,6.0,0.04,0.1,86.45161290322581,14.68522774690589,5.129032258064516,0.31,93.95975656724225,15.588315739602791,11.973684210526315,0.38
Switzerland,1.5,6.0,0.04,0.1,50.33,13.921174192900931,21.43,1.0,63.353315701615756,21.812400597266222,51.75,1.0
Paraguay,1.5,6.0,0.08,0.1,93.0625,6.1802777715353,0.0,0.16,99.43908727441897,7.233447679944333,7.428571428571429,0.07
South Korea,1.5,6.0,0.08,0.1,83.49019607843137,18.143177835230087,3.3333333333333335,0.51,94.77144808796241,12.234412816698663,7.148148148148148,0.27
Switzerland,1.5,6.0,0.08,0.1,43.97,14.333301620824678,11.57,1.0,67.19707890117543,19.92580982559806,53.23,1.0
Paraguay,1.5,6.0,0.16,0.1,86.42105263157895,19.041813024889564,1.1578947368421053,0.19,85.03425235012553,14.523759867066252,5.333333333333333,0.06
South Korea,1.5,6.0,0.16,0.1,86.47826086956522,13.244986505058494,3.8405797101449277,0.69,96.9867253724839,8.34706978696317,9.517241379310345,0.29
Switzerland,1.5,6.0,0.16,0.1,37.26,14.308731529377368,6.21,1.0,66.01117120652084,19.815834670455462,42.76,1.0
Paraguay,1.5,8.0,0.04,0.1,92.5,12.020815280171307,0.0,0.02,96.89170934973063,14.102078704505143,4.5,0.02
South Korea,1.5,8.0,0.04,0.1,83.125,14.004463574160917,0.75,0.08,93.70948471573719,16.04334146767592,8.428571428571429,0.07
Switzerland,1.5,8.0,0.04,0.1,60.44,18.01027764944508,14.85,1.0,76.34027380661288,20.922510409361955,38.32,1.0
Paraguay,1.5,8.0,0.08,0.1,86.85714285714286,16.128944700223173,0.0,0.07,NaN,NaN,NaN,0.0
South Korea,1.5,8.0,0.08,0.1,91.0,9.533566430716728,2.4,0.1,90.58223854216553,18.472223661704177,5.9,0.1
Switzerland,1.5,8.0,0.08,0.1,51.99,18.592110306701755,9.75,1.0,74.25068270623792,21.17524054845231,34.41,1.0
Paraguay,1.5,8.0,0.16,0.1,93.44444444444444,10.345423035225664,0.0,0.09,NaN,NaN,NaN,0.0
South Korea,1.5,8.0,0.16,0.1,83.24324324324324,15.92239060325184,0.4864864864864865,0.37,78.50852754274263,18.8556829750967,2.0,0.04
Switzerland,1.5,8.0,0.16,0.1,44.47,17.948554428159557,5.03,1.0,77.83605386532122,23.23076412924041,40.05,1.0
Paraguay,1.5,10.0,0.04,0.1,101.0,NaN,0.0,0.01,NaN,NaN,NaN,0.0
South Korea,1.5,10.0,0.04,0.1,69.6,25.83215051055564,0.8,0.05,102.0319425427955,7.194235287084725,4.714285714285714,0.07
Switzerland,1.5,10.0,0.04,0.1,68.61,23.22220071527688,14.49,1.0,83.96908155748692,22.115714822010457,27.114583333333332,0.96
Paraguay,1.5,10.0,0.08,0.1,75.0,NaN,0.0,0.01,NaN,NaN,NaN,0.0
South Korea,1.5,10.0,0.08,0.1,83.11111111111111,19.496438421186348,0.2222222222222222,0.09,83.14490593179093,36.07393068457657,3.0,0.05
Switzerland,1.5,10.0,0.08,0.1,62.333333333333336,22.684166913762308,10.929292929292929,0.99,84.06400465463969,21.72135503911739,25.042105263157893,0.95
Paraguay,1.5,10.0,0.16,0.1,84.75,8.539125638299666,0.0,0.04,68.28414689694765,NaN,3.0,0.01
South Korea,1.5,10.0,0.16,0.1,68.16666666666667,27.014586407862677,0.16666666666666666,0.12,88.89977500953846,11.672669330873237,2.75,0.04
Switzerland,1.5,10.0,0.16,0.1,51.75,20.016848963416855,5.51,1.0,83.08376349098974,22.931470255851508,23.636363636363637,0.99
Paraguay,2.0,4.0,0.04,0.1,58.23,7.8674049473800824,32.58,1.0,81.54895908658742,17.97425073494852,258.67,1.0
South Korea,2.0,4.0,0.04,0.1,49.12,5.896891836665595,38.81,1.0,74.7443365946056,18.261621761637667,352.42,1.0
Switzerland,2.0,4.0,0.04,0.1,27.05,6.310765213170078,44.8,1.0,63.64301291244932,27.703206472274008,629.48,1.0
Paraguay,2.0,4.0,0.08,0.1,55.38,5.904595026269154,15.57,1.0,81.03564955220553,17.394703618901,180.32,1.0
South Korea,2.0,4.0,0.08,0.1,45.25,7.66650197451566,19.19,1.0,76.8350500583132,20.97418327412576,242.86,1.0
Switzerland,2.0,4.0,0.08,0.1,23.68,5.0848954380755575,17.49,1.0,59.72735405740427,26.736666583234545,267.12,1.0
Paraguay,2.0,4.0,0.16,0.1,52.3,7.314714656434009,7.47,1.0,80.42730105778455,17.889516878041228,138.12,1.0
South Korea,2.0,4.0,0.16,0.1,42.01,7.916859646770725,7.92,1.0,72.44351480660136,19.84609485116796,171.5,1.0
Switzerland,2.0,4.0,0.16,0.1,19.79,5.705384662002567,8.79,1.0,58.61571661278936,25.48473968584123,222.05,1.0
Paraguay,2.0,6.0,0.04,0.1,78.02,8.518524081391831,27.19,1.0,90.55821398497913,12.51638728798207,77.1,1.0
South Korea,2.0,6.0,0.04,0.1,64.77,8.624436740501324,28.64,1.0,82.62986831505923,17.240042147112682,120.53,1.0
Switzerland,2.0,6.0,0.04,0.1,33.96,8.550409051588991,28.16,1.0,67.36430357544879,23.595726270967102,221.99,1.0
Paraguay,2.0,6.0,0.08,0.1,74.8,6.298949728071155,11.91,1.0,91.24645794577182,12.591998641994962,63.42,1.0
South Korea,2.0,6.0,0.08,0.1,60.8,8.184735731219366,12.37,1.0,83.53818203524283,17.013147471619096,87.82,1.0
Switzerland,2.0,6.0,0.08,0.1,28.89,7.74191660554883,10.08,1.0,70.51381555159618,23.68769636624305,162.08,1.0
Paraguay,2.0,6.0,0.16,0.1,68.13,10.684317781901026,4.16,1.0,90.6369447427315,12.566249200370315,62.31,1.0
South Korea,2.0,6.0,0.16,0.1,55.11,9.328889634794798,5.95,1.0,82.33681324778055,16.61620418165475,70.49,1.0
Switzerland,2.0,6.0,0.16,0.1,25.22,8.101103553706666,5.1,1.0,70.23242853125319,25.615433107943364,128.88,1.0
Paraguay,2.0,8.0,0.04,0.1,90.95402298850574,9.396817925007616,9.32183908045977,0.87,99.25161526305368,12.970817796979063,16.43661971830986,0.71
South Korea,2.0,8.0,0.04,0.1,77.24,9.09003228094856,13.74,1.0,93.8025669198326,11.61738671863492,57.21,1.0
Switzerland,2.0,8.0,0.04,0.1,40.62,9.83066733248665,18.16,1.0,70.00961820569552,23.35707736694221,135.8,1.0
Paraguay,2.0,8.0,0.08,0.1,86.29292929292929,11.518620705810973,5.626262626262626,0.99,98.526807925678,10.654008082839692,14.246153846153845,0.65
South Korea,2.0,8.0,0.08,0.1,72.48,11.014664238315587,8.86,1.0,91.55572412806745,14.235163006711183,44.88,1.0
Switzerland,2.0,8.0,0.08,0.1,35.24,11.100204748316377,9.9,1.0,72.5356561092056,24.50930716443345,118.02,1.0
Paraguay,2.0,8.0,0.16,0.1,82.69,10.708907837436415,3.44,1.0,97.88386783735864,12.395162186293778,12.646153846153846,0.65
South Korea,2.0,8.0,0.16,0.1,67.78,11.619019586936592,4.48,1.0,92.17760192055803,13.491459655426425,39.77,1.0
Switzerland,2.0,8.0,0.16,0.1,30.84,10.390088517136867,5.48,1.0,71.13164972975979,24.829112387033735,83.18,1.0
Paraguay,2.0,10.0,0.04,0.1,92.17647058823529,9.919899786021322,2.6470588235294117,0.17,99.27878834871288,10.318884243946853,4.444444444444445,0.18
South Korea,2.0,10.0,0.04,0.1,90.4,10.975764926889472,12.71111111111111,0.9,96.88304980480397,14.099976170957557,16.51388888888889,0.72
Switzerland,2.0,10.0,0.04,0.1,46.66,10.834121183473158,20.66,1.0,75.55407692234536,22.011078908268406,98.06,1.0
Paraguay,2.0,10.0,0.08,0.1,92.51851851851852,7.428481418320717,1.9259259259259258,0.27,98.38387709356643,15.933176514844678,7.266666666666667,0.15
