sample_id,country,R0,gen_time,p_det,false_positive_rate,earliest_detection_time,earliest_surveillance_type,local_cases_at_detection,total_latent,total_infectious,total_detectable
1,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,243.0,885.0,839.0,1826.0
2,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,164.0,833.0,787.0,1761.0
3,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,231.0,850.0,807.0,1781.0
4,Switzerland,2.0,4.0,0.08,0.04,37.0,AWW,1019.0,852.0,795.0,1778.0
5,Switzerland,2.0,4.0,0.08,0.04,35.0,AWW,709.0,873.0,813.0,1711.0
6,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,284.0,848.0,824.0,1755.0
7,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,334.0,829.0,781.0,1760.0
8,Switzerland,2.0,4.0,0.08,0.04,26.501000218526794,ICU,60.0,835.0,811.0,1772.0
9,Switzerland,2.0,4.0,0.08,0.04,23.472940109313658,ICU,58.0,863.0,760.0,1776.0
10,Switzerland,2.0,4.0,0.08,0.04,29.500000059268707,HARISS,283.0,909.0,811.0,1709.0
11,Switzerland,2.0,4.0,0.08,0.04,27.47324639423493,ICU,371.0,821.0,747.0,1740.0
12,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,593.0,849.0,800.0,1711.0
13,Switzerland,2.0,4.0,0.08,0.04,23.0,AWW,166.0,789.0,854.0,1717.0
14,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,249.0,928.0,825.0,1766.0
15,Switzerland,2.0,4.0,0.08,0.04,29.0,AWW,664.0,840.0,800.0,1755.0
16,Switzerland,2.0,4.0,0.08,0.04,22.0,AWW,19.0,824.0,805.0,1763.0
17,Switzerland,2.0,4.0,0.08,0.04,32.11040246358829,ICU,385.0,825.0,725.0,1800.0
18,Switzerland,2.0,4.0,0.08,0.04,30.16553504156347,ICU,588.0,845.0,807.0,1748.0
19,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,209.0,869.0,783.0,1799.0
20,Switzerland,2.0,4.0,0.08,0.04,34.7952773867499,ICU,440.0,865.0,804.0,1741.0
21,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,236.0,780.0,823.0,1805.0
22,Switzerland,2.0,4.0,0.08,0.04,31.4487327300788,ICU,1472.0,863.0,789.0,1681.0
23,Switzerland,2.0,4.0,0.08,0.04,19.50000088821167,HARISS,81.0,855.0,810.0,1767.0
24,Switzerland,2.0,4.0,0.08,0.04,35.3621630328257,ICU,1114.0,833.0,801.0,1818.0
25,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,45.0,907.0,788.0,1737.0
26,Switzerland,2.0,4.0,0.08,0.04,28.38177936725864,ICU,88.0,831.0,769.0,1708.0
27,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,141.0,865.0,768.0,1735.0
28,Switzerland,2.0,4.0,0.08,0.04,33.50000018147425,HARISS,615.0,853.0,799.0,1723.0
29,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,137.0,817.0,785.0,1776.0
30,Switzerland,2.0,4.0,0.08,0.04,27.030029471470144,ICU,451.0,852.0,763.0,1745.0
31,Switzerland,2.0,4.0,0.08,0.04,33.50000067227064,HARISS,238.0,855.0,799.0,1741.0
32,Switzerland,2.0,4.0,0.08,0.04,28.485288452537613,ICU,194.0,828.0,771.0,1728.0
33,Switzerland,2.0,4.0,0.08,0.04,33.50000090017355,HARISS,352.0,854.0,782.0,1753.0
34,Switzerland,2.0,4.0,0.08,0.04,35.0,AWW,502.0,849.0,773.0,1808.0
35,Switzerland,2.0,4.0,0.08,0.04,33.5000005780641,HARISS,568.0,784.0,818.0,1801.0
36,Switzerland,2.0,4.0,0.08,0.04,29.50000058978131,HARISS,303.0,839.0,849.0,1799.0
37,Switzerland,2.0,4.0,0.08,0.04,33.877950015028205,ICU,1962.0,842.0,789.0,1740.0
38,Switzerland,2.0,4.0,0.08,0.04,28.587852393772504,ICU,412.0,831.0,791.0,1772.0
39,Switzerland,2.0,4.0,0.08,0.04,30.58149365004003,ICU,466.0,814.0,815.0,1846.0
40,Switzerland,2.0,4.0,0.08,0.04,16.0,AWW,3.0,840.0,797.0,1789.0
41,Switzerland,2.0,4.0,0.08,0.04,26.500000524041877,HARISS,304.0,880.0,775.0,1796.0
42,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,718.0,841.0,842.0,1819.0
43,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,289.0,860.0,753.0,1742.0
44,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,416.0,884.0,768.0,1761.0
45,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,304.0,808.0,831.0,1797.0
46,Switzerland,2.0,4.0,0.08,0.04,35.44790785262378,ICU,1429.0,856.0,812.0,1724.0
47,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,633.0,897.0,849.0,1753.0
48,Switzerland,2.0,4.0,0.08,0.04,19.500000489897083,HARISS,78.0,845.0,784.0,1731.0
49,Switzerland,2.0,4.0,0.08,0.04,16.094632561996402,ICU,134.0,851.0,815.0,1832.0
50,Switzerland,2.0,4.0,0.08,0.04,26.50000083358847,HARISS,133.0,819.0,768.0,1717.0
51,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,238.0,837.0,799.0,1824.0
52,Switzerland,2.0,4.0,0.08,0.04,22.500000294124106,HARISS,17.0,844.0,776.0,1753.0
53,Switzerland,2.0,4.0,0.08,0.04,20.0,AWW,15.0,863.0,830.0,1749.0
54,Switzerland,2.0,4.0,0.08,0.04,29.99041759245263,ICU,253.0,840.0,842.0,1747.0
55,Switzerland,2.0,4.0,0.08,0.04,29.0,AWW,88.0,821.0,799.0,1744.0
56,Switzerland,2.0,4.0,0.08,0.04,22.500000147567356,HARISS,196.0,852.0,735.0,1764.0
57,Switzerland,2.0,4.0,0.08,0.04,31.410358400602515,ICU,239.0,836.0,762.0,1806.0
58,Switzerland,2.0,4.0,0.08,0.04,26.50000050578808,HARISS,359.0,802.0,788.0,1725.0
59,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,219.0,892.0,767.0,1777.0
60,Switzerland,2.0,4.0,0.08,0.04,35.0,AWW,409.0,855.0,770.0,1742.0
61,Switzerland,2.0,4.0,0.08,0.04,29.500000908308195,HARISS,1539.0,839.0,827.0,1772.0
62,Switzerland,2.0,4.0,0.08,0.04,28.63237138424944,ICU,949.0,834.0,810.0,1765.0
63,Switzerland,2.0,4.0,0.08,0.04,26.500000535125057,HARISS,355.0,791.0,834.0,1697.0
64,Switzerland,2.0,4.0,0.08,0.04,18.071117114718007,ICU,404.0,840.0,820.0,1722.0
65,Switzerland,2.0,4.0,0.08,0.04,16.0,AWW,5.0,842.0,738.0,1774.0
66,Switzerland,2.0,4.0,0.08,0.04,6.0,AWW,NaN,870.0,739.0,1747.0
67,Switzerland,2.0,4.0,0.08,0.04,29.50000077969659,HARISS,313.0,847.0,774.0,1755.0
68,Switzerland,2.0,4.0,0.08,0.04,30.0,AWW,30.0,887.0,775.0,1791.0
69,Switzerland,2.0,4.0,0.08,0.04,29.50000084504095,HARISS,1262.0,839.0,788.0,1828.0
70,Switzerland,2.0,4.0,0.08,0.04,19.23349854200446,ICU,107.0,788.0,758.0,1785.0
71,Switzerland,2.0,4.0,0.08,0.04,30.0,AWW,209.0,858.0,782.0,1814.0
72,Switzerland,2.0,4.0,0.08,0.04,22.0,AWW,48.0,847.0,796.0,1741.0
73,Switzerland,2.0,4.0,0.08,0.04,26.0,AWW,367.0,883.0,782.0,1724.0
74,Switzerland,2.0,4.0,0.08,0.04,36.500000896715584,HARISS,1651.0,873.0,779.0,1740.0
75,Switzerland,2.0,4.0,0.08,0.04,25.0,AWW,98.0,886.0,772.0,1720.0
76,Switzerland,2.0,4.0,0.08,0.04,28.389977110860773,ICU,451.0,855.0,798.0,1789.0
77,Switzerland,2.0,4.0,0.08,0.04,33.50000000543324,HARISS,300.0,860.0,796.0,1802.0
78,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,295.0,862.0,831.0,1699.0
79,Switzerland,2.0,4.0,0.08,0.04,35.43192139978578,ICU,1322.0,876.0,813.0,1776.0
80,Switzerland,2.0,4.0,0.08,0.04,20.0,AWW,0.0,867.0,795.0,1792.0
81,Switzerland,2.0,4.0,0.08,0.04,30.0,AWW,817.0,870.0,836.0,1718.0
82,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,2231.0,825.0,720.0,1801.0
83,Switzerland,2.0,4.0,0.08,0.04,29.50000060832815,HARISS,617.0,747.0,791.0,1697.0
84,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,170.0,813.0,801.0,1748.0
85,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,429.0,872.0,815.0,1711.0
