sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
1,Switzerland,2.0,4.0,0.008,0.04,63.85172743390861,41934.0,43.5000002187015,1000.0,27.0,13.0,42.0,792.0,27.0,13.0,33.500000288761825,239.0,6.500000288761825,27.0,AWW,42.0,AWW,27.0,AWW_escalation,187101.0,175588.0,390821.0
2,Switzerland,2.0,4.0,0.008,0.04,69.56443810524189,106645.0,40.500000575840495,581.0,40.0,540.0,41.0,595.0,11.0,0.0,35.500000172888974,225.0,24.500000172888974,40.0,AWW,40.500000575840495,HARISS,11.0,AWW_escalation,187088.0,175073.0,392130.0
3,Switzerland,2.0,4.0,0.008,0.04,71.13062522280345,148394.0,36.5000002874201,670.0,24.0,90.0,54.0,8518.0,9.0,0.0,34.5000002518873,553.0,25.5000002518873,24.0,AWW,36.5000002874201,HARISS,9.0,AWW_escalation,187480.0,175044.0,390009.0
4,Switzerland,2.0,4.0,0.008,0.04,71.47079476834844,158289.0,50.5000006413228,3287.0,33.0,91.0,33.0,91.0,19.0,0.0,28.500000970618352,34.0,9.500000970618352,33.0,AWW,33.0,AWW,19.0,AWW_escalation,187262.0,175286.0,390740.0
5,Switzerland,2.0,4.0,0.008,0.04,77.86968088126848,491910.0,54.50000022588967,6563.0,37.0,245.0,38.0,253.0,24.0,18.0,55.500000706734774,8055.0,31.500000706734774,37.0,AWW,38.0,AWW,24.0,AWW_escalation,186846.0,175628.0,391018.0
6,Switzerland,2.0,4.0,0.008,0.04,62.66243113453223,32235.0,54.50000038910345,7254.0,39.0,501.0,50.0,3297.0,28.0,45.0,47.500000032150844,1861.0,19.500000032150844,39.0,AWW,50.0,AWW,28.0,AWW_escalation,186951.0,175713.0,390368.0
7,Switzerland,2.0,4.0,0.008,0.04,58.6556524749541,14378.0,57.50000029087386,10967.0,28.0,41.0,44.0,472.0,10.0,0.0,56.50000046595951,9257.0,46.50000046595951,28.0,AWW,44.0,AWW,10.0,AWW_escalation,187315.0,175204.0,391127.0
8,Switzerland,2.0,4.0,0.008,0.04,58.92638994474012,18272.0,50.50000069030978,3815.0,40.0,464.0,41.0,511.0,7.0,0.0,48.50000099378777,2630.0,41.50000099378777,40.0,AWW,41.0,AWW,7.0,AWW_escalation,186874.0,175260.0,391062.0
9,Switzerland,2.0,4.0,0.008,0.04,66.43792249441974,57410.0,54.50000078916311,5347.0,47.0,1175.0,51.0,2686.0,47.0,1175.0,51.50000085198787,2885.0,4.5000008519878705,47.0,AWW,51.0,AWW,47.0,AWW_escalation,186217.0,175136.0,389852.0
10,Switzerland,2.0,4.0,0.008,0.04,73.59818581628818,224053.0,47.500000953133444,2540.0,35.0,301.0,41.0,875.0,35.0,301.0,47.500000216701196,2540.0,12.500000216701196,35.0,AWW,41.0,AWW,35.0,AWW_escalation,187723.0,176222.0,390664.0
11,Switzerland,2.0,4.0,0.008,0.04,66.2981409882293,52271.0,54.50000071620649,5360.0,40.0,336.0,39.0,255.0,3.0,0.0,42.500000946067,596.0,39.500000946067,40.0,AWW,39.0,AWW,3.0,AWW_escalation,186567.0,176146.0,390399.0
