sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
1,Switzerland,1.5,3.5,0.0016,0.04,44.83484244803115,372725.0,36.50000009221462,23325.0,31.0,3273.0,32.0,4590.0,31.0,3273.0,33.500000549612984,8123.0,2.5000005496129845,31.0,AWW,32.0,AWW,31.0,AWW_escalation,2.520989e6,1.290348e6,2.134709e6
2,Switzerland,1.5,3.5,0.0016,0.04,48.69803901921854,1.419033e6,33.50000021386405,8287.0,32.0,5040.0,33.0,7033.0,32.0,5040.0,37.500000118686216,33029.0,5.500000118686216,32.0,AWW,33.0,AWW,32.0,AWW_escalation,2.523167e6,1.289519e6,2.134608e6
3,Switzerland,1.5,3.5,0.0016,0.04,50.959423872902654,3.075474e6,40.500000850750915,91286.0,30.0,2143.0,31.0,3148.0,27.0,808.0,30.50000028229066,2566.0,3.50000028229066,30.0,AWW,31.0,AWW,27.0,AWW_escalation,2.524823e6,1.291408e6,2.135536e6
4,Switzerland,1.5,3.5,0.0016,0.04,50.487708162978016,2.653519e6,36.50000060979252,23359.0,35.0,14050.0,8.0,0.0,7.0,0.0,29.500000683836177,1761.0,22.500000683836177,35.0,AWW,8.0,AWW,7.0,AWW_escalation,2.522869e6,1.288838e6,2.13289e6
5,Switzerland,1.5,3.5,0.0016,0.04,47.73345112692504,1.013554e6,40.500000115138505,89658.0,29.0,1850.0,32.0,5056.0,15.0,10.0,37.500000594952766,31290.0,22.500000594952766,29.0,AWW,32.0,AWW,15.0,AWW_escalation,2.519115e6,1.289954e6,2.135764e6
6,Switzerland,1.5,3.5,0.0016,0.04,48.578596214742916,1.410839e6,40.50000067143205,92492.0,25.0,483.0,30.0,2602.0,15.0,33.0,33.5000001461088,8321.0,18.500000146108803,25.0,AWW,30.0,AWW,15.0,AWW_escalation,2.522955e6,1.291905e6,2.133791e6
7,Switzerland,1.5,3.5,0.0016,0.04,47.77296172707059,1.000075e6,36.50000007498605,21080.0,25.0,256.0,26.0,335.0,25.0,256.0,33.500000499933044,7317.0,8.500000499933044,25.0,AWW,26.0,AWW,25.0,AWW_escalation,2.520522e6,1.29145e6,2.135548e6
8,Switzerland,1.5,3.5,0.0016,0.04,47.657667348559315,1.002228e6,36.50000033701725,22778.0,30.0,2042.0,31.0,3149.0,7.0,0.0,21.500000492900163,126.0,14.500000492900163,30.0,AWW,31.0,AWW,7.0,AWW_escalation,2.51899e6,1.289835e6,2.137841e6
9,Switzerland,1.5,3.5,0.0016,0.04,43.87324382772684,261484.0,33.50000039968571,8711.0,34.0,10132.0,35.0,13940.0,4.0,0.0,29.500000698513652,2139.0,25.500000698513652,33.50000039968571,HARISS,33.50000039968571,HARISS,4.0,AWW_escalation,2.523748e6,1.292282e6,2.134772e6
10,Switzerland,1.5,3.5,0.0016,0.04,51.26886995112486,3.602927e6,33.50000055301701,9269.0,26.0,814.0,20.0,62.0,3.0,0.0,36.50000025313809,24691.0,33.50000025313809,26.0,AWW,20.0,AWW,3.0,AWW_escalation,2.520708e6,1.290662e6,2.133523e6
11,Switzerland,1.5,3.5,0.0016,0.04,47.76905157381362,1.001987e6,36.500000458636215,23627.0,32.0,5055.0,33.0,7166.0,6.0,0.0,33.5000007799794,8622.0,27.500000779979402,32.0,AWW,33.0,AWW,6.0,AWW_escalation,2.522764e6,1.291448e6,2.131894e6
12,Switzerland,1.5,3.5,0.0016,0.04,39.988719026785404,74226.0,36.50000030665135,23338.0,29.0,1727.0,14.0,0.0,13.0,0.0,35.50000007203047,16624.0,22.500000072030467,29.0,AWW,14.0,AWW,13.0,AWW_escalation,2.520874e6,1.289565e6,2.132786e6
13,Switzerland,1.5,3.5,0.0016,0.04,48.7115038691564,1.428753e6,29.500000141935374,2273.0,27.0,894.0,34.0,10853.0,27.0,894.0,34.500000444984856,13173.0,7.500000444984856,27.0,AWW,29.500000141935374,HARISS,27.0,AWW_escalation,2.521077e6,1.288603e6,2.132344e6
14,Switzerland,1.5,3.5,0.0016,0.04,38.45746462628042,43836.0,36.50000037809476,23648.0,32.0,5274.0,36.0,19883.0,6.0,0.0,37.500000981489045,32949.0,31.500000981489045,32.0,AWW,36.0,AWW,6.0,AWW_escalation,2.519247e6,1.292862e6,2.134851e6
15,Switzerland,1.5,3.5,0.0016,0.04,50.481766885344115,2.627687e6,33.500000686909054,8053.0,29.0,1745.0,35.0,13215.0,14.0,2.0,30.50000008089906,2770.0,16.50000008089906,29.0,AWW,33.500000686909054,HARISS,14.0,AWW_escalation,2.522437e6,1.290277e6,2.138642e6
16,Switzerland,1.5,3.5,0.0016,0.04,45.52556467955639,508928.0,22.500000665703126,442.0,24.0,506.0,33.0,6968.0,24.0,506.0,36.500000038423664,23448.0,12.500000038423664,22.500000665703126,HARISS,22.500000665703126,HARISS,24.0,AWW_escalation,2.521914e6,1.292384e6,2.13377e6
17,Switzerland,1.5,3.5,0.0016,0.04,36.81505093221841,22964.0,36.500000943698545,22017.0,22.0,154.0,33.0,5932.0,16.0,0.0,34.50000050646214,10281.0,18.500000506462143,22.0,AWW,33.0,AWW,16.0,AWW_escalation,2.52183e6,1.289805e6,2.135606e6
18,Switzerland,1.5,3.5,0.0016,0.04,44.066158113695046,314421.0,33.5000000779124,8647.0,23.0,203.0,32.0,5159.0,19.0,14.0,35.50000068001299,16888.0,16.500000680012988,23.0,AWW,32.0,AWW,19.0,AWW_escalation,2.520817e6,1.291368e6,2.136561e6
19,Switzerland,1.5,3.5,0.0016,0.04,46.858929117359295,741956.0,36.50000017754863,23972.0,34.0,10561.0,37.0,27699.0,34.0,10561.0,Inf,NaN,NaN,34.0,AWW,36.50000017754863,HARISS,34.0,AWW_escalation,2.521516e6,1.290058e6,2.135303e6
20,Switzerland,1.5,3.5,0.0016,0.04,50.66811451928927,2.811246e6,36.50000008832039,22833.0,31.0,3613.0,32.0,5395.0,17.0,3.0,33.50000051613263,8481.0,16.50000051613263,31.0,AWW,32.0,AWW,17.0,AWW_escalation,2.520145e6,1.291932e6,2.136111e6
21,Switzerland,1.5,3.5,0.0016,0.04,37.847625694516495,31413.0,29.500000205701404,1831.0,25.0,485.0,8.0,0.0,7.0,0.0,30.5000005238374,2460.0,23.5000005238374,25.0,AWW,8.0,AWW,7.0,AWW_escalation,2.521697e6,1.288671e6,2.13329e6
22,Switzerland,1.5,3.5,0.0016,0.04,36.86248362477478,24640.0,36.50000034783226,23162.0,32.0,4588.0,32.0,4588.0,17.0,67.0,34.500000944604984,10881.0,17.500000944604984,32.0,AWW,32.0,AWW,17.0,AWW_escalation,2.521723e6,1.29182e6,2.134263e6
23,Switzerland,1.5,3.5,0.0016,0.04,44.127065868434485,321184.0,36.50000073952791,23532.0,29.0,1703.0,29.0,1703.0,28.0,1041.0,37.5000009626918,33852.0,9.5000009626918,29.0,AWW,29.0,AWW,28.0,AWW_escalation,2.523331e6,1.290554e6,2.134727e6
24,Switzerland,1.5,3.5,0.0016,0.04,46.91433204373371,762602.0,33.50000081083214,8450.0,31.0,3560.0,32.0,4992.0,31.0,3560.0,Inf,NaN,NaN,31.0,AWW,32.0,AWW,31.0,AWW_escalation,2.523857e6,1.290394e6,2.136223e6
