sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_detection_time,aww_local_cases,earliest_detection_time,earliest_surveillance_type,total_latent,total_infectious,total_detectable
1,Switzerland,1.5,4.0,0.08,0.04,38.79858734923381,187.0,40.50000027077281,243.0,54.0,1531.0,38.79858734923381,ICU,996.0,1046.0,3067.0
2,Switzerland,1.5,4.0,0.08,0.04,59.52273240202681,633.0,64.50000091666983,1288.0,55.0,344.0,55.0,AWW,998.0,1013.0,3019.0
3,Switzerland,1.5,4.0,0.08,0.04,85.50686105885922,2415.0,82.50000076531505,1575.0,4.0,0.0,4.0,AWW,1023.0,1060.0,3120.0
4,Switzerland,1.5,4.0,0.08,0.04,24.43977362142859,16.0,64.50000073796726,53.0,47.0,27.0,24.43977362142859,ICU,940.0,1026.0,2979.0
5,Switzerland,1.5,4.0,0.08,0.04,55.7302954803853,446.0,64.50000062899791,1669.0,49.0,168.0,49.0,AWW,995.0,1072.0,3024.0
6,Switzerland,1.5,4.0,0.08,0.04,70.6358445930927,1290.0,57.50000015135018,236.0,55.0,176.0,55.0,AWW,924.0,1010.0,2921.0
7,Switzerland,1.5,4.0,0.08,0.04,17.208066720667798,16.0,Inf,NaN,54.0,16.0,17.208066720667798,ICU,961.0,1068.0,3088.0
8,Switzerland,1.5,4.0,0.08,0.04,62.28761152987726,512.0,68.50000094978984,1206.0,59.0,313.0,59.0,AWW,959.0,1110.0,3019.0
9,Switzerland,1.5,4.0,0.08,0.04,18.16770479999031,69.0,33.50000032313443,564.0,55.0,14161.0,18.16770479999031,ICU,991.0,1016.0,2897.0
10,Switzerland,1.5,4.0,0.08,0.04,57.41262918225476,368.0,47.500000728645325,111.0,68.0,1614.0,47.500000728645325,HARISS,991.0,1030.0,2879.0
11,Switzerland,1.5,4.0,0.08,0.04,60.48399051278793,501.0,68.50000022894513,1675.0,36.0,8.0,36.0,AWW,954.0,1139.0,3105.0
12,Switzerland,1.5,4.0,0.08,0.04,35.80137572750684,82.0,40.50000015351991,84.0,57.0,84.0,35.80137572750684,ICU,897.0,1050.0,2973.0
13,Switzerland,1.5,4.0,0.08,0.04,53.18810968415117,447.0,54.50000029441278,539.0,10.0,1.0,10.0,AWW,961.0,1079.0,2997.0
14,Switzerland,1.5,4.0,0.08,0.04,54.123439694886684,64.0,57.50000022459068,106.0,42.0,8.0,42.0,AWW,986.0,1063.0,2964.0
15,Switzerland,1.5,4.0,0.08,0.04,64.67954587131,3207.0,61.50000014848293,2017.0,48.0,262.0,48.0,AWW,939.0,1107.0,3060.0
16,Switzerland,1.5,4.0,0.08,0.04,66.00860422644678,772.0,50.50000095661237,74.0,53.0,119.0,50.50000095661237,HARISS,1010.0,1086.0,3003.0
17,Switzerland,1.5,4.0,0.08,0.04,15.752192116301638,26.0,Inf,NaN,59.0,26.0,15.752192116301638,ICU,939.0,1042.0,2971.0
18,Switzerland,1.5,4.0,0.08,0.04,32.74919139509062,8.0,57.500000976050096,214.0,50.0,69.0,32.74919139509062,ICU,1029.0,1042.0,3006.0
19,Switzerland,1.5,4.0,0.08,0.04,45.5064602132036,622.0,33.50000059537127,99.0,52.0,1732.0,33.50000059537127,HARISS,925.0,1068.0,3074.0
20,Switzerland,1.5,4.0,0.08,0.04,33.33469227639797,70.0,50.50000064213208,734.0,45.0,341.0,33.33469227639797,ICU,971.0,1053.0,2961.0
