sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
1,Switzerland,1.5,4.0,0.08,0.04,69.38263099610805,2489.0,50.50000099953971,89.0,40.0,4.0,52.0,117.0,40.0,AWW,50.50000099953971,HARISS,948.0,1068.0,2974.0
2,Switzerland,1.5,4.0,0.08,0.04,88.48278452460848,49204.0,54.50000013181567,281.0,37.0,8.0,46.0,40.0,37.0,AWW,46.0,AWW,1004.0,1043.0,2967.0
3,Switzerland,1.5,4.0,0.08,0.04,65.4252317652836,5405.0,61.500000105490145,2897.0,40.0,81.0,55.0,1069.0,40.0,AWW,55.0,AWW,954.0,1079.0,3029.0
4,Switzerland,1.5,4.0,0.08,0.04,30.015922929549564,49.0,54.500000460701024,3091.0,30.0,49.0,54.0,2860.0,30.0,AWW,30.015922929549564,ICU,931.0,1050.0,3053.0
5,Switzerland,1.5,4.0,0.08,0.04,60.948443960013684,302.0,57.500000943988155,171.0,27.0,0.0,52.0,75.0,27.0,AWW,52.0,AWW,984.0,1095.0,2987.0
6,Switzerland,1.5,4.0,0.08,0.04,62.337973261674705,2434.0,50.50000030667043,398.0,24.0,1.0,48.0,245.0,24.0,AWW,48.0,AWW,1011.0,1041.0,2982.0
7,Switzerland,1.5,4.0,0.08,0.04,82.69010669024286,14692.0,57.50000062373677,395.0,24.0,0.0,39.0,17.0,24.0,AWW,39.0,AWW,980.0,1046.0,2920.0
8,Switzerland,1.5,4.0,0.08,0.04,75.83010370849593,5334.0,71.50000047510409,2890.0,44.0,23.0,52.0,129.0,44.0,AWW,52.0,AWW,923.0,1070.0,2958.0
9,Switzerland,1.5,4.0,0.08,0.04,34.48404797559668,84.0,54.50000049618666,1569.0,36.0,96.0,59.0,3149.0,34.48404797559668,ICU,34.48404797559668,ICU,951.0,1089.0,2996.0
10,Switzerland,1.5,4.0,0.08,0.04,76.51181534054935,4748.0,54.50000048513923,214.0,40.0,28.0,41.0,31.0,40.0,AWW,41.0,AWW,1008.0,1100.0,3005.0
11,Switzerland,1.5,4.0,0.08,0.04,56.06512764394892,3466.0,54.5000007041376,2718.0,14.0,1.0,54.0,2494.0,14.0,AWW,54.0,AWW,998.0,1044.0,2905.0
12,Switzerland,1.5,4.0,0.08,0.04,72.42534352997511,8941.0,54.500000007128065,624.0,42.0,91.0,56.0,777.0,42.0,AWW,54.500000007128065,HARISS,913.0,1009.0,3091.0
13,Switzerland,1.5,4.0,0.08,0.04,51.53351395012591,276.0,57.500000892146545,708.0,27.0,5.0,60.0,1059.0,27.0,AWW,51.53351395012591,ICU,1030.0,1100.0,2902.0
14,Switzerland,1.5,4.0,0.08,0.04,82.2359012455406,22300.0,50.500000391712845,223.0,33.0,5.0,33.0,5.0,33.0,AWW,33.0,AWW,977.0,1071.0,2807.0
15,Switzerland,1.5,4.0,0.08,0.04,58.584433551953424,2208.0,50.50000075750105,687.0,29.0,10.0,57.0,1708.0,29.0,AWW,50.50000075750105,HARISS,954.0,1070.0,2993.0
16,Switzerland,1.5,4.0,0.08,0.04,51.73102483563729,844.0,57.500000097413626,2121.0,10.0,0.0,38.0,78.0,10.0,AWW,38.0,AWW,960.0,1098.0,2946.0
17,Switzerland,1.5,4.0,0.08,0.04,62.03418846155152,859.0,40.500000741100116,64.0,23.0,8.0,26.0,14.0,23.0,AWW,26.0,AWW,998.0,1088.0,3097.0
18,Switzerland,1.5,4.0,0.08,0.04,66.66744382818311,4536.0,61.50000003707793,2055.0,14.0,0.0,55.0,724.0,14.0,AWW,55.0,AWW,923.0,1062.0,2963.0
19,Switzerland,1.5,4.0,0.08,0.04,80.98473419157483,15434.0,61.50000021855979,774.0,35.0,2.0,5.0,0.0,35.0,AWW,5.0,AWW,1011.0,1022.0,3127.0
20,Switzerland,1.5,4.0,0.08,0.04,56.05876278817231,602.0,40.500000192907066,74.0,39.0,52.0,49.0,217.0,39.0,AWW,40.500000192907066,HARISS,1000.0,1033.0,2965.0
21,Switzerland,1.5,4.0,0.08,0.04,51.95482751736548,255.0,61.50000088792462,1050.0,22.0,3.0,23.0,3.0,22.0,AWW,23.0,AWW,987.0,1030.0,2856.0
22,Switzerland,1.5,4.0,0.08,0.04,53.1905252869859,644.0,50.50000090511925,433.0,41.0,92.0,56.0,1011.0,41.0,AWW,50.50000090511925,HARISS,940.0,1017.0,2939.0
23,Switzerland,1.5,4.0,0.08,0.04,35.481518066622314,532.0,36.500000418632,603.0,37.0,640.0,37.0,640.0,35.481518066622314,ICU,35.481518066622314,ICU,958.0,1045.0,2991.0
24,Switzerland,1.5,4.0,0.08,0.04,94.80699754630237,58608.0,64.50000010096096,1636.0,43.0,31.0,58.0,585.0,43.0,AWW,58.0,AWW,955.0,1008.0,3010.0
25,Switzerland,1.5,4.0,0.08,0.04,53.41148933755143,1373.0,57.50000015276652,2389.0,37.0,96.0,53.0,1284.0,37.0,AWW,53.0,AWW,1009.0,1075.0,2938.0
26,Switzerland,1.5,4.0,0.08,0.04,19.911923635667808,7.0,50.500000603926516,288.0,33.0,15.0,59.0,1210.0,19.911923635667808,ICU,19.911923635667808,ICU,1010.0,1046.0,3073.0
27,Switzerland,1.5,4.0,0.08,0.04,31.6300565922222,152.0,22.500000933882838,24.0,41.0,521.0,51.0,2192.0,22.500000933882838,HARISS,22.500000933882838,HARISS,1012.0,1053.0,2983.0
28,Switzerland,1.5,4.0,0.08,0.04,23.00451381879135,34.0,36.50000038346207,298.0,45.0,1148.0,56.0,5870.0,23.00451381879135,ICU,23.00451381879135,ICU,975.0,1040.0,2924.0
29,Switzerland,1.5,4.0,0.08,0.04,43.322128873006996,797.0,43.5000001171336,818.0,27.0,74.0,42.0,659.0,27.0,AWW,42.0,AWW,938.0,1073.0,3010.0
30,Switzerland,1.5,4.0,0.08,0.04,52.52037710448319,1010.0,54.50000092590891,1342.0,40.0,156.0,52.0,930.0,40.0,AWW,52.0,AWW,960.0,1060.0,2944.0
31,Switzerland,1.5,4.0,0.08,0.04,66.17054015565333,1859.0,61.500000683781,849.0,17.0,2.0,60.0,675.0,17.0,AWW,60.0,AWW,978.0,1070.0,3049.0
32,Switzerland,1.5,4.0,0.08,0.04,50.7315032768549,435.0,43.50000091636537,107.0,45.0,144.0,48.0,258.0,43.50000091636537,HARISS,43.50000091636537,HARISS,954.0,1046.0,2933.0
33,Switzerland,1.5,4.0,0.08,0.04,7.011174896502064,8.0,36.500000272392874,40.0,29.0,12.0,32.0,13.0,7.011174896502064,ICU,7.011174896502064,ICU,993.0,1037.0,3049.0
34,Switzerland,1.5,4.0,0.08,0.04,57.27565662986639,853.0,61.50000090888424,1593.0,11.0,4.0,58.0,948.0,11.0,AWW,57.27565662986639,ICU,949.0,1085.0,3010.0
35,Switzerland,1.5,4.0,0.08,0.04,60.526654629902566,889.0,54.5000006175711,318.0,51.0,200.0,52.0,230.0,51.0,AWW,52.0,AWW,988.0,1013.0,3021.0
36,Switzerland,1.5,4.0,0.08,0.04,23.34159880148678,1.0,64.50000074541735,886.0,34.0,9.0,34.0,9.0,23.34159880148678,ICU,23.34159880148678,ICU,954.0,1085.0,2916.0
37,Switzerland,1.5,4.0,0.08,0.04,68.79951294712092,4137.0,47.500000415774224,154.0,42.0,70.0,59.0,985.0,42.0,AWW,47.500000415774224,HARISS,1024.0,1125.0,2929.0
38,Switzerland,1.5,4.0,0.08,0.04,41.70833785123652,57.0,50.50000087243685,277.0,40.0,36.0,33.0,9.0,40.0,AWW,33.0,AWW,967.0,1044.0,3105.0
39,Switzerland,1.5,4.0,0.08,0.04,70.64184433021205,4033.0,64.50000089446418,1626.0,32.0,6.0,52.0,212.0,32.0,AWW,52.0,AWW,935.0,1086.0,3068.0
40,Switzerland,1.5,4.0,0.08,0.04,9.717103919113228,1.0,64.50000061031936,2174.0,52.0,321.0,55.0,496.0,9.717103919113228,ICU,9.717103919113228,ICU,965.0,1059.0,3028.0
41,Switzerland,1.5,4.0,0.08,0.04,51.020146575130305,775.0,54.50000060442469,1382.0,37.0,66.0,49.0,527.0,37.0,AWW,49.0,AWW,993.0,1118.0,2981.0
42,Switzerland,1.5,4.0,0.08,0.04,59.662116661327424,1036.0,50.500000921133186,203.0,20.0,0.0,53.0,336.0,20.0,AWW,50.500000921133186,HARISS,976.0,1078.0,2912.0
43,Switzerland,1.5,4.0,0.08,0.04,60.54523093658358,719.0,61.500000279425464,824.0,27.0,4.0,48.0,158.0,27.0,AWW,48.0,AWW,973.0,1015.0,3025.0
44,Switzerland,1.5,4.0,0.08,0.04,29.425931811750523,16.0,68.50000074224434,1312.0,29.0,16.0,48.0,66.0,29.0,AWW,29.425931811750523,ICU,944.0,1061.0,2987.0
45,Switzerland,1.5,4.0,0.08,0.04,46.628579545295494,512.0,43.500000752644034,303.0,41.0,205.0,53.0,1269.0,41.0,AWW,43.500000752644034,HARISS,955.0,978.0,2856.0
46,Switzerland,1.5,4.0,0.08,0.04,49.55312866333737,1353.0,47.500000392972716,1033.0,44.0,638.0,48.0,1105.0,44.0,AWW,47.500000392972716,HARISS,993.0,1071.0,3034.0
47,Switzerland,1.5,4.0,0.08,0.04,34.059181757080815,25.0,43.50000065932752,143.0,31.0,9.0,53.0,572.0,31.0,AWW,34.059181757080815,ICU,978.0,1032.0,3006.0
48,Switzerland,1.5,4.0,0.08,0.04,60.09427852990493,704.0,64.50000024796253,1275.0,17.0,9.0,41.0,34.0,17.0,AWW,41.0,AWW,961.0,1087.0,3011.0
49,Switzerland,1.5,4.0,0.08,0.04,78.85553475740065,19835.0,57.5000000188551,773.0,30.0,7.0,49.0,166.0,30.0,AWW,49.0,AWW,986.0,1100.0,3015.0
50,Switzerland,1.5,4.0,0.08,0.04,26.975717450340795,32.0,50.500000439016475,964.0,41.0,263.0,14.0,0.0,26.975717450340795,ICU,14.0,AWW,993.0,1022.0,3038.0
51,Switzerland,1.5,4.0,0.08,0.04,62.60942252481518,3645.0,43.500000959286716,154.0,29.0,19.0,46.0,224.0,29.0,AWW,43.500000959286716,HARISS,979.0,1053.0,3052.0
52,Switzerland,1.5,4.0,0.08,0.04,70.27626404870168,9927.0,57.500000556152386,1513.0,24.0,6.0,59.0,1891.0,24.0,AWW,57.500000556152386,HARISS,928.0,1041.0,3037.0
53,Switzerland,1.5,4.0,0.08,0.04,62.62867409365083,690.0,68.50000020512374,1667.0,23.0,0.0,57.0,297.0,23.0,AWW,57.0,AWW,959.0,1046.0,2983.0
54,Switzerland,1.5,4.0,0.08,0.04,42.369555049443825,435.0,54.50000041677113,2574.0,21.0,27.0,30.0,86.0,21.0,AWW,30.0,AWW,1050.0,1070.0,2982.0
55,Switzerland,1.5,4.0,0.08,0.04,85.12036982270234,42283.0,57.50000021862153,576.0,28.0,1.0,44.0,43.0,28.0,AWW,44.0,AWW,1027.0,1035.0,3042.0
56,Switzerland,1.5,4.0,0.08,0.04,27.37766922586903,432.0,36.50000000488077,1680.0,31.0,762.0,46.0,7112.0,27.37766922586903,ICU,27.37766922586903,ICU,989.0,1050.0,3022.0
57,Switzerland,1.5,4.0,0.08,0.04,67.89816973943815,1543.0,68.50000094783188,1655.0,42.0,7.0,43.0,22.0,42.0,AWW,43.0,AWW,954.0,1075.0,2988.0
58,Switzerland,1.5,4.0,0.08,0.04,60.904381039200146,2429.0,50.50000035765488,465.0,37.0,32.0,44.0,151.0,37.0,AWW,44.0,AWW,983.0,1063.0,2978.0
59,Switzerland,1.5,4.0,0.08,0.04,76.92675417073717,16442.0,40.500000697835176,86.0,26.0,11.0,27.0,13.0,26.0,AWW,27.0,AWW,978.0,998.0,2943.0
60,Switzerland,1.5,4.0,0.08,0.04,66.60867638023316,2300.0,54.50000005001341,332.0,36.0,13.0,57.0,515.0,36.0,AWW,54.50000005001341,HARISS,965.0,1020.0,3013.0
61,Switzerland,1.5,4.0,0.08,0.04,71.96291079505063,4201.0,57.50000022200214,399.0,36.0,12.0,57.0,374.0,36.0,AWW,57.0,AWW,994.0,1095.0,2987.0
62,Switzerland,1.5,4.0,0.08,0.04,56.5420898589774,592.0,54.50000016152765,411.0,32.0,14.0,57.0,642.0,32.0,AWW,54.50000016152765,HARISS,984.0,1098.0,3005.0
63,Switzerland,1.5,4.0,0.08,0.04,41.11878473894263,902.0,40.50000082715336,826.0,40.0,753.0,48.0,2454.0,40.0,AWW,40.50000082715336,HARISS,992.0,1036.0,2991.0
64,Switzerland,1.5,4.0,0.08,0.04,54.759957982841215,810.0,54.50000027161431,783.0,26.0,5.0,27.0,6.0,26.0,AWW,27.0,AWW,923.0,1062.0,2896.0
65,Switzerland,1.5,4.0,0.08,0.04,72.3613541405971,3812.0,54.500000242637064,227.0,20.0,3.0,49.0,102.0,20.0,AWW,49.0,AWW,990.0,1022.0,3018.0
66,Switzerland,1.5,4.0,0.08,0.04,51.052665878457944,3177.0,40.50000005957759,600.0,36.0,289.0,37.0,361.0,36.0,AWW,37.0,AWW,973.0,1084.0,2929.0
67,Switzerland,1.5,4.0,0.08,0.04,64.41979061776041,3347.0,64.5000006044546,3384.0,45.0,174.0,45.0,174.0,45.0,AWW,45.0,AWW,982.0,1043.0,2982.0
68,Switzerland,1.5,4.0,0.08,0.04,59.555917427772506,2874.0,43.500000456238354,294.0,46.0,424.0,62.0,4130.0,43.500000456238354,HARISS,43.500000456238354,HARISS,959.0,1032.0,2931.0
69,Switzerland,1.5,4.0,0.08,0.04,35.86872679329936,58.0,43.50000075223134,254.0,48.0,552.0,55.0,1731.0,35.86872679329936,ICU,35.86872679329936,ICU,1011.0,996.0,3005.0
70,Switzerland,1.5,4.0,0.08,0.04,49.633272092302064,567.0,57.50000044327452,2115.0,41.0,114.0,57.0,1944.0,41.0,AWW,49.633272092302064,ICU,939.0,1008.0,3036.0
71,Switzerland,1.5,4.0,0.08,0.04,48.490264150999174,181.0,61.50000052495301,1234.0,28.0,14.0,38.0,42.0,28.0,AWW,38.0,AWW,950.0,1039.0,2959.0
72,Switzerland,1.5,4.0,0.08,0.04,55.59820811669533,683.0,54.50000051600679,581.0,17.0,0.0,54.0,545.0,17.0,AWW,54.0,AWW,1041.0,1111.0,3076.0
73,Switzerland,1.5,4.0,0.08,0.04,44.84534690864337,451.0,50.50000041952928,1084.0,25.0,10.0,44.0,388.0,25.0,AWW,44.0,AWW,988.0,1011.0,2983.0
