sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
1,Switzerland,2.0,4.0,0.08,0.04,36.82347648701861,42.0,57.500000843260004,3987.0,26.0,5.0,30.0,13.0,26.0,AWW,30.0,AWW,5071.0,4764.0,10549.0
2,Switzerland,2.0,4.0,0.08,0.04,45.762444419234335,590.0,43.500000056609494,346.0,19.0,0.0,27.0,5.0,19.0,AWW,27.0,AWW,5206.0,4718.0,10655.0
3,Switzerland,2.0,4.0,0.08,0.04,54.2415569852359,3209.0,47.50000039877123,766.0,21.0,2.0,37.0,80.0,21.0,AWW,37.0,AWW,5192.0,4789.0,10695.0
4,Switzerland,2.0,4.0,0.08,0.04,39.88538864162253,682.0,36.500000059426704,318.0,27.0,24.0,27.0,24.0,27.0,AWW,27.0,AWW,5093.0,4860.0,10800.0
5,Switzerland,2.0,4.0,0.08,0.04,43.33878165236993,621.0,43.50000048516864,643.0,27.0,19.0,30.0,36.0,27.0,AWW,30.0,AWW,5181.0,4825.0,10457.0
6,Switzerland,2.0,4.0,0.08,0.04,53.47275509163624,3032.0,40.50000041037641,142.0,21.0,15.0,34.0,48.0,21.0,AWW,34.0,AWW,5012.0,4797.0,10519.0
7,Switzerland,2.0,4.0,0.08,0.04,48.583718012860174,2465.0,47.50000017418954,1904.0,21.0,7.0,36.0,154.0,21.0,AWW,36.0,AWW,5285.0,4629.0,10500.0
8,Switzerland,2.0,4.0,0.08,0.04,59.673618343029766,3052.0,61.50000059130059,4551.0,31.0,6.0,32.0,10.0,31.0,AWW,32.0,AWW,5052.0,4810.0,10741.0
9,Switzerland,2.0,4.0,0.08,0.04,35.71419685619977,476.0,40.50000013371416,1400.0,26.0,35.0,27.0,49.0,26.0,AWW,27.0,AWW,4992.0,4836.0,10788.0
10,Switzerland,2.0,4.0,0.08,0.04,47.95473437137569,1871.0,40.50000059522656,379.0,9.0,0.0,29.0,38.0,9.0,AWW,29.0,AWW,5174.0,4706.0,10715.0
