,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
French Polynesia,71386,1134,0,0,30,9632,8,144,0,0,78,0,0,0,2,115,14,0,3,0,0,0,20,1,0,0,0,0,224,30,0,0,102,0,0,1,0,0,0,0,0,0,15,0,0,0,0,12,4338,0,1362,0,0,11,0,0,148,0,0,0,0,0,0,236,0,0,0,0,3338,0,517,0,0,0,0,0,0,0,0,832,0,15,7,112,0,8,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,5,1112,0,0,0,0,0,0,49,0,0,0,0,11,0,0,0,0,0,0,8,0,0,1,0,0,0,8,23,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1328,4584532,3178,52,43,145594,5750,22976,0,360,7802,16531,14631,0,146644,2680,194579,6267,40736,0,80,639,7433,1835,171,696,15893,3456,103110,3899,675,2022,11823,15430,61,3133,79,956,247,133,10,7,5525,5200,316,65,3850,705,15451,7849,115881,0,3251,95427,166,0,17012,8,555,31,8,0,47,2070,0,0,9,0,298289,741,33765,131,2830,1831,0,0,78,7896,2248,5861,5,40,2441,2770,5,73910,976,73,39584,716,50,663,51,0,62,2,375,5224,340,5,2135,10918,84,815,1509,0,0,1001,39,254,241,78,58,195,7545,0,374,5,10,133,8140,54,918,2540,2936,916,56649,44,7,1256,303,5,77,37,28,12010,147,47745,9266,229,308,0,0,89,0,1846,2,28,135,13,2120,79,1,0,1074,1129,138,2910,54,4430,55,1,0,671,364,43166,596,27364,20,3,0,15,0,1525,0,192,1518,133,0,93,2,0,611,0,2973,2064,0,97,0,5,0,24,27,0,32,0,406,52997,248,29,147,1223,0,76,63,391,0,11,140,130,0,111114,0,0,2988,2,8,2540,725,0,39,0,0,60,0,0,2,3,0,584
Egypt,0,3622,193459,100,3763,21445,1743,127926,0,0,3098,2978,80741,15,3702,8767,15175,0,1784,0,12,2604,10813,682,447,750,0,326122,35309,959,534,165,16557,495,29,20563,28,26184,10096,760,448,162,244,816,40,803,0,5372,18588,3860,6959,0,4765,12859,7,0,48175,0,7577,63,0,27,65,0,27,198,80,11244,252,1280,8183,2111,174,31,0,0,73,8202,2308,117,135,177,9918,5433,0,5891,2,5,0,1603,129,2147,249,5,1,0,98,2810,10,6,0,0,164,3,1148,0,0,0,284,8620,48,232,132,24,24,2,175,0,0,31,116,0,765,3325,7801,393,3887,499,0,6943,455,6,56,321,234,878,107,137,0,95,1940,5,4,93,0,2449,27,81,568,4,1739,1707,0,0,241,25,199,10328,8,1963,20,0,0,0,790,4896,1395,1406,36,0,0,2,0,155,0,124,12673,4851,0,230,18,0,476,0,716,0,103,1299,2,619,0,0,0,2,0,0,455,1877,1848,34,7,0,0,51,0,87309,17,59,71,913,0,861,0,0,250,6,0,0,42,0,0,0,0,0,0,0,0,8,0,0
Somalia,0,6,116,4983,0,136,0,153,0,0,139,257,3685,0,3,16,89,0,13,0,0,0,16,11,0,3009,0,1059,2196,0,0,0,47,43,0,650,0,43,153,44,0,0,0,211,0,2,0,0,31,1454,0,0,0,625,0,0,41,0,228,0,0,1,1337,0,0,0,0,0,8,3,347,12,0,0,0,0,0,98,6910,0,0,0,60,42,0,182,0,0,0,186,0,2,42,6,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,2,0,0,0,6,0,5,0,75,18,0,0,0,13,3,0,1,0,0,36,0,3,0,0,22,0,0,0,0,2,0,0,10,0,0,34,0,0,12,0,0,0,0,87,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,0,348,0,0,0,6,0,1318,0,119,0,0,0,0,22,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,27,128,3590,0,138859,1180,33,5848,0,0,244,290,10561,4,181,693,2602,0,133,0,0,30,22971,164,826,16,0,7276,7011,26,3,4,2326,0,0,21468,0,2112,58,0,20,720,31,85,11,46,0,10604,149259,315,291,0,206,459,0,0,6869,0,230,4,0,0,0,0,0,703,95,91,3,213,3749,10,45,0,0,0,2,379,13,2,28,7,5501,657,0,113,0,1,0,3,744,184,0,62,0,0,14,88,0,0,0,0,16,0,1510,0,0,0,12,77,0,9,33,11,0,237,4,0,0,1,0,0,31,21,1079,7,31,3,0,451,62,1,0,16,486,374,2,0,0,0,8,0,0,7,0,151,5,0,0,0,353,32,0,0,19,0,31,104,0,18,12,0,28,0,35,174,129,4,7,0,1,0,0,0,0,17,3558,11226,2,0,20,0,3,0,55,0,104,11,249,52,0,0,0,0,0,0,38,156,7,0,0,0,0,2,0,212,0,0,5,13,4,39,0,0,10,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
United States,12860,179294,17304,111,1304,45733399,245866,253139,1162,111,41988,26827,57702,201,19902,41367,306812,207,123081,0,60471,13848,125555,1277,2567,13749,41,17644,518191,1230735,6456,187014,66745,2301,75741,51172,512,9769,389,282,152,51,80153,27417,17354,1624,0,6849,204867,56825,425667,0,16812,247877,5832,13596,143171,49242,1555,660,1675,103,233,605,0,462,307,0,40699,1733,1110141,2411,479,68373,0,0,423,98475,7530,44747,133,1062,30930,26332,17109,11850,591,7286,4422,1336,269,8868,26,93,111011,0,68304,28071,8619,70143,0,29,55079,1709,36825,0,4037,374,275783,3293,169355,827,1215,532,3774,2737,597,30401,15501,301,4658,20921,3213,87675,5857,356,35810,741,23243,2487,707,137,47,183,665,74639,177,143127,38,120,2875,4077,5,1486,2021,10270,249,246,629,300,14467,808,0,2622,1704,49,2189,30234,348,6919,611,30744,180,0,1594,264253,10783,108836,329,9227,10238,41323,4425,249,0,1826,28932,898,0,2320,120,9,1822,30331,11089,266,257,860,1451,456,0,0,0,37562,37,0,557,86278,2206,347,88727,0,0,174556,2448,9902,3,4527,953,3146,0,40991,4,0,658,8,14476,0,387,0,33227,0,1037,253,4235,4,15791,33436,0,0
Brazil,6,7558,2305,0,22,248659,6887503,28570,1632,0,3620,8361,6413,780,473,1843,8513,0,2023,0,559,144,28246,32,32,290,0,373,29508,33126,55,18379,20855,149,3807,3126,106,203,12,2,4,13,151788,4703,67,5,0,1901,37763,5587,5454,0,1198,3409,11279,117,40419,244,79,42,0,0,0,0,0,0,10,0,2170,43,21002,39,44,30475,0,0,1513,9904,287,70245,5,1218,3388,2504,7,494,19,13717,4,129,9,902,3,0,454,0,2632,90,31691,846,0,0,1213,0,68792,0,0,0,9433,63,2380,38,9,10,25,1,106,124,18,56,66,182,230,4208,760,50,3511,27,43,17,0,0,24,12,34,7693,13,316,2,9,254,20,0,19,0,1415,9,0,2,4,803,31,0,5623,289,2,136,1515,0,244,6,137,789,0,184,2998,715,394,0,18,647,39,0,258,0,145,658,81,0,39,0,0,122,16,1230,0,0,4,684,0,0,0,0,56,4,0,677,1228,78,2,246,0,0,393,0,69,2,5,25,1637,0,1508,0,761,326,4,0,0,15,21,248,0,0,5,4,0,0,317,0,0
Germany,73,22136,123360,261,4873,270712,23781,1058110,17,0,65238,36128,76596,378,12801,127615,59869,2,10249,0,1178,4783,604071,13122,544,4519,18,8291,393480,19699,3651,6506,189733,8277,2648,308887,7297,7250,909,120,93,241,5190,51808,9192,2439,2,41694,156353,71962,31010,3,80855,39895,1544,9,327881,255,3093,314,0,19,697,36,4,433,81,42,5998,8420,18495,8929,1345,2814,4,0,256,67144,8959,6135,99,605,35217,189378,27,6993,309,447,87,5346,370,83889,675,611,449,0,1913,8783,821,84,0,0,13539,662,98901,0,2,4,26330,2301,5256,1706,220,306,1163,1164,278,73,0,5009,1556,302,59439,47656,9538,295,67595,1221,8123,9143,1177,3066,30,396,1267,64152,203,25248,16,15827,40337,62,48,5712,0,14773,362,226,543,1054,56253,8130,0,6881,22977,9,1318,104264,59,1776,8391,32,0,0,11484,23455,65776,9396,366,604,990,52,39,9000,0,20760,10357,16726,0,8272,1569,16,1648,37,47604,0,88,1338,934,1515,0,0,0,25,0,0,13542,11743,19596,5833,328,0,0,5963,0,4049,8,1548,3491,13933,0,19477,0,0,6983,4,6,0,20176,16,502,0,16,266,1,0,20,341,0,0
Suriname,0,4,3,0,0,1263,1378,9,0,0,3,22,12,49,21,0,631,0,30,0,6,4,5,0,0,0,0,0,62,43,0,206,6,2,257,36,0,0,0,0,0,0,4,0,0,0,0,0,6,0,26,0,0,43,0,1686,21,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,14,0,0,0,14938,0,6,0,0,0,0,10,22,0,5,0,0,0,4,0,0,4,0,6,0,0,1077,0,0,4231,0,4,0,0,0,297,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,69,0,0,0,0,0,0,15,0,14,0,0,0,1,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,387,0,0,0,3,0,4,0,14,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,44,2,0,0,0,0,63,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,471,0,0,0,0,0,9,264,0,0
Kiribati,0,196,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
