sample_id,times,detectable_imports,transmission_imports,local_cases,arrival_time,aww_detection_time,icu_detection_time
1,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 2, 0, 2, 2, 3, 4, 4, 5, 4, 10, 19, 18, 22, 27, 33, 41, 44, 76, 101, 115, 167, 180, 220, 287, 368, 482, 570, 746, 943, 1249, 1604, 2055, 2689, 3475]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 1, 3, 5, 9, 8, 10, 11, 17, 22, 32, 36, 53, 62, 64, 84, 102, 133, 180, 203, 252, 367, 437, 512, 742, 903, 1189, 1454, 1881, 2322, 3061, 3869]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 9, 12, 23, 27, 38, 55, 75, 105, 126, 159, 222, 279, 359, 469, 628, 798, 997, 1280, 1661, 2110, 2649, 3329, 4217, 5340, 6754, 8480, 10715, 13457, 17010]",9.0,26.0,59.44426464654263
2,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 1, 2, 1, 3, 3, 4, 9, 7, 4, 17, 13, 17, 31, 26, 42, 60, 85, 81, 126, 136, 188, 228, 294, 377, 484, 658, 810, 1029, 1209, 1640, 2117, 2675, 3483]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 4, 0, 3, 6, 3, 11, 8, 16, 19, 26, 41, 37, 53, 48, 75, 122, 136, 154, 221, 257, 341, 394, 521, 719, 968, 1183, 1500, 1839, 2393, 3074, 3867]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 5, 6, 8, 15, 17, 18, 23, 28, 31, 34, 40, 46, 47, 55, 63, 72, 82, 93, 105, 122, 148, 176, 210, 250, 298, 363, 436, 552, 682, 834, 1016, 1269, 1608, 1998, 2469, 3152, 3998, 5069, 6321, 8000, 10204, 13037, 16551]",6.0,36.0,59.60655752434117
3,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 3, 4, 1, 3, 7, 5, 5, 7, 8, 9, 13, 23, 24, 29, 37, 61, 78, 100, 109, 155, 186, 243, 284, 343, 495, 588, 805, 1030, 1268, 1653, 2071, 2625, 3426]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 3, 1, 1, 1, 6, 8, 11, 7, 18, 18, 30, 31, 44, 48, 49, 86, 100, 146, 178, 190, 262, 304, 454, 500, 731, 938, 1180, 1445, 1932, 2325, 2886, 3771]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 5, 8, 13, 21, 33, 45, 68, 96, 135, 183, 239, 323, 443, 564, 728, 991, 1285, 1674, 2155, 2782, 3611, 4587, 5833, 7540, 9713, 12378, 15841]",10.0,29.0,37.44001522579544
4,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 6, 4, 6, 6, 13, 14, 19, 14, 31, 41, 35, 53, 62, 86, 117, 134, 180, 232, 291, 362, 535, 664, 813, 1019, 1297, 1662, 2050, 2768, 3436]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 2, 2, 4, 1, 8, 7, 10, 11, 16, 21, 27, 35, 34, 46, 54, 78, 127, 119, 158, 227, 250, 343, 437, 614, 750, 946, 1178, 1489, 1887, 2370, 3138, 3972]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 5, 6, 6, 7, 8, 9, 14, 17, 27, 34, 42, 57, 70, 93, 119, 160, 201, 272, 348, 431, 550, 700, 878, 1120, 1422, 1802, 2292, 2915, 3728, 4772, 6084, 7764, 9914, 12714, 16198]",12.0,34.0,48.53109882186377
5,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 3, 1, 0, 2, 1, 1, 3, 4, 3, 9, 7, 8, 13, 18, 22, 27, 41, 42, 41, 86, 95, 124, 120, 190, 269, 292, 382, 475, 576, 796, 956, 1367, 1670, 2064, 2733, 3365]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 5, 2, 4, 2, 3, 6, 14, 21, 17, 16, 22, 26, 36, 37, 52, 68, 89, 140, 171, 253, 271, 370, 431, 532, 711, 923, 1218, 1398, 1888, 2364, 3028, 3986]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 4, 4, 4, 7, 10, 11, 11, 13, 18, 21, 26, 42, 51, 59, 76, 97, 138, 179, 219, 274, 346, 443, 530, 649, 810, 1060, 1343, 1697, 2169, 2789, 3563, 4535, 5748, 7346, 9420, 12158, 15609]",9.0,22.0,57.70151759912517
6,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 2, 2, 1, 0, 2, 5, 3, 12, 4, 6, 12, 20, 27, 23, 39, 41, 47, 61, 106, 93, 152, 195, 238, 301, 389, 457, 623, 778, 1014, 1287, 1621, 2131, 2701, 3409]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 3, 1, 1, 1, 4, 8, 7, 12, 9, 15, 13, 13, 20, 41, 39, 45, 72, 102, 117, 166, 199, 260, 340, 451, 560, 708, 876, 1133, 1522, 1845, 2384, 2990, 3880]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 4, 4, 4, 6, 8, 11, 12, 18, 22, 27, 32, 37, 43, 48, 64, 81, 98, 125, 154, 206, 262, 340, 452, 585, 785, 989, 1273, 1659, 2152, 2783, 3540, 4549, 5829, 7439, 9537, 12230, 15596]",8.0,34.0,50.21847786204242
7,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 3, 2, 3, 5, 5, 9, 7, 11, 11, 23, 28, 32, 44, 61, 59, 94, 119, 142, 187, 245, 295, 365, 536, 678, 747, 969, 1314, 1687, 2034, 2660, 3409]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 3, 1, 5, 4, 5, 11, 12, 10, 19, 27, 36, 32, 52, 63, 71, 101, 143, 142, 221, 280, 359, 430, 547, 748, 877, 1165, 1429, 1884, 2478, 3095, 3865]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 5, 9, 11, 14, 18, 24, 25, 27, 40, 51, 67, 90, 106, 131, 164, 204, 266, 347, 453, 585, 769, 1012, 1306, 1681, 2124, 2734, 3499, 4521, 5764, 7318, 9452, 12153, 15574]",7.0,34.0,59.83951651947574
8,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 3, 1, 5, 4, 2, 6, 7, 13, 8, 9, 15, 16, 31, 43, 36, 48, 67, 77, 119, 147, 190, 233, 300, 354, 491, 615, 799, 1017, 1235, 1603, 2169, 2720, 3434]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 2, 1, 3, 3, 4, 11, 5, 15, 16, 20, 25, 30, 40, 48, 82, 68, 99, 133, 180, 217, 270, 339, 402, 586, 704, 900, 1140, 1469, 1879, 2456, 3107, 3748]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5, 6, 8, 11, 14, 24, 40, 52, 70, 107, 148, 187, 251, 352, 457, 605, 794, 1041, 1357, 1772, 2303, 2968, 3821, 4922, 6282, 7980, 10058, 12748, 16205]",16.0,26.0,56.014056940218616
9,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 3, 4, 5, 5, 6, 4, 8, 13, 15, 23, 28, 33, 51, 48, 71, 85, 109, 125, 208, 231, 292, 404, 478, 593, 793, 1003, 1244, 1650, 2095, 2702, 3517]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 3, 3, 2, 7, 2, 6, 10, 12, 15, 11, 32, 41, 36, 56, 68, 79, 91, 136, 146, 221, 278, 362, 434, 591, 674, 865, 1178, 1476, 1933, 2427, 2998, 3867]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 4, 6, 7, 7, 11, 13, 15, 18, 22, 26, 36, 47, 63, 81, 106, 136, 165, 218, 273, 366, 477, 627, 807, 1028, 1355, 1719, 2206, 2888, 3709, 4778, 6059, 7732, 9836, 12496, 16030]",6.0,31.0,53.27964520973051
10,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 1, 1, 4, 7, 5, 6, 8, 14, 10, 21, 23, 28, 36, 44, 53, 76, 79, 110, 159, 176, 235, 277, 347, 494, 600, 750, 1002, 1334, 1699, 2068, 2678, 3448]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 3, 1, 5, 4, 7, 12, 8, 10, 12, 17, 25, 23, 42, 35, 67, 74, 93, 137, 163, 204, 259, 323, 438, 543, 786, 897, 1158, 1476, 1877, 2330, 3015, 3934]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 7, 9, 11, 12, 15, 22, 31, 37, 48, 61, 71, 80, 102, 126, 151, 178, 214, 277, 334, 423, 545, 674, 834, 1069, 1361, 1695, 2159, 2766, 3528, 4459, 5652, 7362, 9517, 12047, 15331]",14.0,33.0,50.6814710436426
