NHS_Trust_code,ICU_site_name,public_health_laboratory
RRK,University Hospitals Birmingham NHS Foundation Trust,Birmingham
RVJ,North Bristol NHS Trust,Bristol
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Bristol
RD1,Royal United Hospitals Bath NHS Foundation Trust,Bristol
RDU,Frimley Health NHS Foundation Trust,Frimley
RYJ,Imperial College Healthcare NHS Trust,Imperial
RR8,Leeds Teaching Hospitals NHS Trust,Leeds
RXF,Mid Yorkshire Hospitals NHS Trust,Leeds
RWY,Calderdale and Huddersfield NHS Foundation Trust,Leeds
RWE,University Hospitals of Leicester NHS Trust,Leicester
RTF,Northumbria Healthcare NHS Foundation Trust,Northumbria
RGT,Cambridge University Hospitals NHS Foundation Trust,Cambridge
R0A,Manchester University NHS Foundation Trust,Manchester
RM3,Northern Care Alliance NHS Foundation Trust,Manchester
RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,Manchester
RBV,The Christie NHS Foundation Trust,Manchester
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Newcastle
RX1,Nottingham University Hospitals NHS Trust,Nottingham
RTH,Oxford University Hospitals NHS Foundation Trust,Oxford
RAL,Royal Free London NHS Foundation Trust,Royal Free
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield
RHM,University Hospital Southampton NHS Foundation Trust,Southampton
