NHS_Trust_code,2024_4_function,2024_5_function,2024_6_function,2024_7_function,2024_8_function,2024_9_function,2024_10_function,2024_11_function,2024_12_function,2025_1_function,2025_2_function,2025_3_function,mean_12m,mean_12m_prop
NDJ,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
NL7,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
NLX,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
NNJ,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
NR3,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
R0A,23565,26218,24223,24235,21610,23533,25876,26244,25547,24310,22416,25292,24422.4167,0.0178742309
R0B,11076,11704,11270,11554,10568,11215,12481,11925,12083,10809,9989,11463,11344.7500,0.0083029736
R0D,12739,13855,13603,13604,13227,12978,13526,13107,13366,12296,11840,13702,13153.5833,0.0096268190
R1D,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
R1F,4088,4425,4026,4595,4455,3961,4072,4191,4774,4428,4136,4266,4284.7500,0.0031359145
R1H,23379,24992,23982,25172,23072,24191,25988,25692,25805,25012,22906,25830,24668.4167,0.0180542729
R1K,12755,13910,13085,13350,12312,12797,13495,13834,14095,13728,12788,14125,13356.1667,0.0097750853
RA2,6572,6641,6655,6586,6150,6573,6970,7022,6551,6385,6118,6924,6595.5833,0.0048271627
RA7,15115,16093,15122,15165,14153,14776,16097,16427,15827,14626,13998,16099,15291.5000,0.0111915133
RA9,6247,6698,6512,6774,6432,6235,6217,6145,6285,5843,5532,6650,6297.5000,0.0046090021
RAE,9299,9649,9289,9302,8798,8960,9611,9509,10047,8851,8651,9248,9267.8333,0.0067829239
RAJ,28759,31119,29579,30718,28003,29860,31183,30826,31192,28930,26897,31792,29904.8333,0.0218866914
RAL,18315,18941,17990,18231,16221,16645,17893,17661,17780,24850,23137,25381,19420.4167,0.0142133769
RAN,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
RAP,7727,8269,7867,7849,7497,7912,8680,8411,8518,0,0,0,6060.8333,0.0044357909
RAS,5629,6043,5946,6079,5660,6077,6235,6270,6404,5973,5687,6236,6019.9167,0.0044058449
RAT,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
RAX,6887,7329,7002,7078,6465,6915,7198,7341,7469,7258,6478,7332,7062.6667,0.0051690108
RBD,4182,4472,4311,4605,4587,4224,4194,4036,4150,3841,3471,4111,4182.0000,0.0030607140
RBK,8277,8928,8677,9187,8140,8721,10098,9841,9777,9044,8257,9286,9019.4167,0.0066011132
RBL,7595,8354,7780,7920,7488,7655,8011,5970,7469,7439,6626,7845,7512.6667,0.0054983559
RBN,16959,18018,16606,17086,15686,15845,17574,17192,16950,16188,15299,17832,16769.5833,0.0122732901
RBQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
RBS,5628,6107,5739,5165,3843,5058,5891,6277,6181,5771,5570,6446,5639.6667,0.0041275483
RBT,6991,7444,7298,7259,6652,6969,7453,7229,7274,6632,6236,7136,7047.7500,0.0051580936
RBV,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000000000
RC9,15343,16836,16576,16511,15388,15695,16766,16716,16743,15468,14688,17026,16146.3333,0.0118171471
