TrustCode,TrustName,catchment_adult,catchment_child,catchment_total,catchment_prop_of_total_sum,prop_adult,prop_child
R0A,Manchester University NHS Foundation Trust,874071.40,326092.60,1200164.00,0.0212267457,0.728293,0.271707
R0B,South Tyneside And Sunderland NHS Foundation Trust,362308.60,73030.40,435339.00,0.0076996396,0.832245,0.167755
R0D,University Hospitals Dorset NHS Foundation Trust,495685.40,91220.60,586906.00,0.0103803350,0.844574,0.155426
R1F,Isle Of Wight NHS Trust,111238.40,22527.60,133766.00,0.0023658574,0.831589,0.168411
R1H,Barts Health NHS Trust,1018816.60,276858.40,1295675.00,0.0229160046,0.786321,0.213679
R1K,London North West University Healthcare NHS Trust,593436.00,119326.00,712762.00,0.0126062919,0.832586,0.167414
RA2,Royal Surrey County Hospital NHS Foundation Trust,276868.60,64008.40,340877.00,0.0060289339,0.812224,0.187776
RA4,Yeovil District Hospital NHS Foundation Trust,150165.00,30123.00,180288.00,0.0031886705,0.832917,0.167083
RA7,University Hospitals Bristol And Weston NHS Foundation Trust,422796.00,192660.00,615456.00,0.0108852857,0.686964,0.313036
RA9,Torbay And South Devon NHS Foundation Trust,232213.00,42987.00,275200.00,0.0048673351,0.843797,0.156203
RAE,Bradford Teaching Hospitals NHS Foundation Trust,330111.20,102374.80,432486.00,0.0076491799,0.763288,0.236712
RAJ,Mid And South Essex NHS Foundation Trust,944922.40,217770.60,1162693.00,0.0205640134,0.812702,0.187298
RAL,Royal Free London NHS Foundation Trust,555881.40,122627.60,678509.00,0.0120004749,0.819269,0.180731
RAN,Royal National Orthopaedic Hospital NHS Trust,6545.20,1616.80,8162.00,0.0001443575,0.801911,0.198089
RAP,North Middlesex University Hospital NHS Trust,240572.20,88005.80,328578.00,0.0058114071,0.732162,0.267838
RAS,The Hillingdon Hospitals NHS Foundation Trust,185591.60,70431.40,256023.00,0.0045281604,0.724902,0.275098
RAX,Kingston Hospital NHS Foundation Trust,271664.40,84661.60,356326.00,0.0063021732,0.762404,0.237596
