NHS_Trust_code,nhs_region
R0A,NORTH WEST
R0B,NORTH EAST AND YORKSHIRE
R0D,SOUTH WEST
R1F,SOUTH EAST
R1H,LONDON
R1K,LONDON
RA2,SOUTH EAST
RA7,SOUTH WEST
RA9,SOUTH WEST
RAE,NORTH EAST AND YORKSHIRE
RAJ,EAST OF ENGLAND
RAL,LONDON
RAN,LONDON
RAS,LONDON
RAX,LONDON
RBD,SOUTH WEST
RBK,MIDLANDS
RBL,NORTH WEST
RBN,NORTH WEST
RBQ,NORTH WEST
RBS,NORTH WEST
RBT,NORTH WEST
RBV,NORTH WEST
RC9,EAST OF ENGLAND
RCB,NORTH EAST AND YORKSHIRE
RCD,NORTH EAST AND YORKSHIRE
RCF,NORTH EAST AND YORKSHIRE
RCU,NORTH EAST AND YORKSHIRE
RCX,EAST OF ENGLAND
RD1,SOUTH WEST
RD8,EAST OF ENGLAND
RDE,EAST OF ENGLAND
RDU,SOUTH EAST
REF,SOUTH WEST
REM,NORTH WEST
REN,NORTH WEST
REP,NORTH WEST
RET,NORTH WEST
RF4,LONDON
RFF,NORTH EAST AND YORKSHIRE
RFR,NORTH EAST AND YORKSHIRE
RFS,MIDLANDS
RGM,EAST OF ENGLAND
RGN,EAST OF ENGLAND
RGP,EAST OF ENGLAND
RGR,EAST OF ENGLAND
RGT,EAST OF ENGLAND
RH5,SOUTH WEST
RH8,SOUTH WEST
RHM,SOUTH EAST
RHQ,NORTH EAST AND YORKSHIRE
RHU,SOUTH EAST
RHW,SOUTH EAST
RJ1,LONDON
RJ2,LONDON
RJ6,LONDON
RJ7,LONDON
RJC,MIDLANDS
RJE,MIDLANDS
RJL,NORTH EAST AND YORKSHIRE
RJN,NORTH WEST
RJR,NORTH WEST
RJZ,LONDON
RK5,MIDLANDS
RK9,SOUTH WEST
RKB,MIDLANDS
RKE,LONDON
RL1,MIDLANDS
RL4,MIDLANDS
RLQ,MIDLANDS
RLT,MIDLANDS
RM1,EAST OF ENGLAND
RM3,NORTH WEST
RMC,NORTH WEST
RMP,NORTH WEST
RN3,SOUTH WEST
RN5,SOUTH EAST
RN7,SOUTH EAST
RNA,MIDLANDS
RNN,NORTH EAST AND YORKSHIRE
RNQ,MIDLANDS
RNS,MIDLANDS
RNZ,SOUTH WEST
RP4,LONDON
RP5,NORTH EAST AND YORKSHIRE
RP6,LONDON
RPA,SOUTH EAST
RPC,SOUTH EAST
RPY,LONDON
RQ3,MIDLANDS
RQM,LONDON
RQW,EAST OF ENGLAND
RQX,LONDON
RR7,NORTH EAST AND YORKSHIRE
RR8,NORTH EAST AND YORKSHIRE
RRF,NORTH WEST
RRJ,MIDLANDS
RRK,MIDLANDS
RRV,LONDON
RTD,NORTH EAST AND YORKSHIRE
RTE,SOUTH WEST
RTF,NORTH EAST AND YORKSHIRE
RTG,MIDLANDS
RTH,SOUTH EAST
RTK,SOUTH EAST
RTP,SOUTH EAST
RTR,NORTH EAST AND YORKSHIRE
RTX,NORTH WEST
RVJ,SOUTH WEST
RVR,LONDON
RVV,SOUTH EAST
RVW,NORTH EAST AND YORKSHIRE
RWA,NORTH EAST AND YORKSHIRE
RWD,MIDLANDS
RWE,MIDLANDS
RWF,SOUTH EAST
RWG,EAST OF ENGLAND
RWH,EAST OF ENGLAND
RWJ,NORTH WEST
RWP,MIDLANDS
RWW,NORTH WEST
RWY,NORTH EAST AND YORKSHIRE
RX1,MIDLANDS
RXC,SOUTH EAST
RXF,NORTH EAST AND YORKSHIRE
RXK,MIDLANDS
RXL,NORTH WEST
RXN,NORTH WEST
RXP,NORTH EAST AND YORKSHIRE
RXQ,SOUTH EAST
RXR,NORTH WEST
RXW,MIDLANDS
RYJ,LONDON
RYR,SOUTH EAST
