country,R0,generation_time,airport_detection_prob,icu_sampling_proportion,airport_mean_detection_time,airport_std_detection_time,airport_mean_local_cases,airport_detection_rate,icu_mean_detection_time,icu_std_detection_time,icu_mean_local_cases,icu_detection_rate
Ecuador,1.5,4.0,0.04,0.1,54.340425531914896,5.671193368734456,33.234042553191486,0.94,65.91010236491547,13.724254919553589,80.3125,0.96
Sierra Leone,1.5,4.0,0.04,0.1,50.572916666666664,5.356245329994484,27.8125,0.96,59.02609660825434,10.885380262166318,65.14285714285714,0.98
Singapore,1.5,4.0,0.04,0.1,37.16483516483517,4.798758488201196,34.67032967032967,0.91,48.561867042072635,15.500694665811187,80.76288659793815,0.97
Ecuador,1.5,4.0,0.08,0.1,51.02,6.72246347342365,17.93,1.0,61.42849555348728,12.809587212783704,53.784946236559136,0.93
Sierra Leone,1.5,4.0,0.08,0.1,48.07,5.435117758660345,17.76,1.0,59.8873821376371,13.995821764050092,56.62765957446808,0.94
Singapore,1.5,4.0,0.08,0.1,34.350515463917525,5.271861698982237,17.804123711340207,0.97,44.72655519167269,11.672611153926807,54.0,0.98
Ecuador,1.5,4.0,0.16,0.1,48.45,5.857525591971926,9.25,1.0,63.15755060731974,12.324155282703234,61.223404255319146,0.94
Sierra Leone,1.5,4.0,0.16,0.1,45.11,5.582973755947269,8.59,1.0,58.75558543887074,11.446142268784568,52.44329896907217,0.97
Singapore,1.5,4.0,0.16,0.1,29.9,6.086082815769437,7.79,1.0,43.449499053468145,10.529707169255317,48.80612244897959,0.98
Ecuador,1.5,6.0,0.04,0.1,71.95918367346938,6.587896379587669,19.459183673469386,0.98,81.81459305550145,11.292539035493006,49.54545454545455,0.99
Sierra Leone,1.5,6.0,0.04,0.1,67.33333333333333,8.76682056718072,23.393939393939394,0.99,80.62813640055799,12.13192609390897,58.55,1.0
Singapore,1.5,6.0,0.04,0.1,46.505050505050505,9.609066442979072,20.535353535353536,0.99,63.1596573145464,16.771120474887486,64.41,1.0
Ecuador,1.5,6.0,0.08,0.1,65.52,9.09043231072976,8.27,1.0,81.4350934147234,11.577540566697007,46.91836734693877,0.98
Sierra Leone,1.5,6.0,0.08,0.1,62.91,7.6039529857897605,9.94,1.0,79.5241457452479,13.443408289499049,46.4,1.0
Singapore,1.5,6.0,0.08,0.1,45.08,7.965430359251206,12.41,1.0,60.606122293129545,15.360594995018035,49.87,1.0
Ecuador,1.5,6.0,0.16,0.1,61.62,9.367664133236808,5.19,1.0,79.32720209729152,12.948949052597246,34.68,1.0
Sierra Leone,1.5,6.0,0.16,0.1,59.37,9.065034389612016,5.63,1.0,77.36990289898608,12.938859322770202,40.22,1.0
Singapore,1.5,6.0,0.16,0.1,39.49,9.285042821765563,5.09,1.0,62.349115924985746,14.603036207898006,47.65,1.0
Ecuador,1.5,8.0,0.04,0.1,86.13265306122449,10.60114539143537,13.744897959183673,0.98,98.7830698040379,8.557437879495092,35.56382978723404,0.94
Sierra Leone,1.5,8.0,0.04,0.1,81.72,13.01132373951803,16.73,1.0,92.7740312712701,12.50658389291808,37.111111111111114,0.99
Singapore,1.5,8.0,0.04,0.1,60.06,11.214006393521425,19.84,1.0,71.90066083517449,18.006978595625405,57.65,1.0
Ecuador,1.5,8.0,0.08,0.1,82.75,9.904977832311683,9.48,1.0,97.61984462194704,9.814605270334,33.59550561797753,0.89
Sierra Leone,1.5,8.0,0.08,0.1,78.09,11.492724971595173,8.88,1.0,93.05072486114736,14.427363142518578,33.02020202020202,0.99
Singapore,1.5,8.0,0.08,0.1,55.39,9.245140683766053,7.8,1.0,75.2369623725403,17.859992164835923,43.33,1.0
Ecuador,1.5,8.0,0.16,0.1,76.86,11.419476539861382,3.44,1.0,96.40162722121104,11.229154685414107,28.28421052631579,0.95
Sierra Leone,1.5,8.0,0.16,0.1,71.49,13.873523217432783,4.86,1.0,92.56847045715581,13.661136557699269,30.959183673469386,0.98
Singapore,1.5,8.0,0.16,0.1,49.11,11.300214532691337,5.48,1.0,73.57942961785326,16.792571207069937,38.69,1.0
Ecuador,1.5,10.0,0.04,0.1,93.86111111111111,9.472223385932992,3.25,0.36,96.55351211132086,14.445230228351013,6.225806451612903,0.31
Sierra Leone,1.5,10.0,0.04,0.1,88.95238095238095,16.180861426317694,6.095238095238095,0.63,98.21560340022174,13.407576859139978,9.651162790697674,0.43
Singapore,1.5,10.0,0.04,0.1,68.8,12.708861141548109,17.32,1.0,81.81015479138892,18.632440123175197,39.25,1.0
Ecuador,1.5,10.0,0.08,0.1,88.29411764705883,12.546384527260527,3.0980392156862746,0.51,94.04619000270127,16.98279974714207,6.2727272727272725,0.22
Sierra Leone,1.5,10.0,0.08,0.1,90.13636363636364,13.61640475966003,5.215909090909091,0.88,99.11502975084811,9.95656479706767,9.564102564102564,0.39
Singapore,1.5,10.0,0.08,0.1,62.76,12.991154721967597,7.32,1.0,85.86585815511918,19.55531811814668,41.94,1.0
Ecuador,1.5,10.0,0.16,0.1,85.16666666666667,10.859267690738472,2.3452380952380953,0.84,96.2071166332839,15.519981862807471,7.2727272727272725,0.33
Sierra Leone,1.5,10.0,0.16,0.1,84.70103092783505,12.163097320424464,3.597938144329897,0.97,96.95139519674964,11.463340103369204,7.277777777777778,0.36
Singapore,1.5,10.0,0.16,0.1,55.5,15.350780587529243,3.81,1.0,83.94989357383675,15.698311711403747,33.49484536082474,0.97
Ecuador,2.0,4.0,0.04,0.1,53.71739130434783,5.651657516194971,56.92391304347826,0.92,70.93685463791113,17.48884801354308,318.62,1.0
Sierra Leone,2.0,4.0,0.04,0.1,50.16483516483517,5.631782303762453,49.505494505494504,0.91,69.00398426598801,18.977639663039334,333.26,1.0
Singapore,2.0,4.0,0.04,0.1,35.75824175824176,6.888542273370662,57.76923076923077,0.91,59.992947699383976,22.756939589494703,634.29,1.0
Ecuador,2.0,4.0,0.08,0.1,50.21,6.8891585154142785,30.68,1.0,72.13246809377534,17.699582750554168,238.77,1.0
Sierra Leone,2.0,4.0,0.08,0.1,47.36,6.981244715505809,29.99,1.0,72.68067462309439,17.882020010670868,290.99,1.0
Singapore,2.0,4.0,0.08,0.1,33.98989898989899,4.837133046768699,29.949494949494948,0.99,59.97006687072707,22.488553575728293,374.74,1.0
Ecuador,2.0,4.0,0.16,0.1,48.03,5.902327909179118,15.19,1.0,75.65196779349255,17.064268676456788,225.39,1.0
Sierra Leone,2.0,4.0,0.16,0.1,43.45,7.609636368221918,14.81,1.0,73.48419694427388,21.013065033523333,236.06,1.0
Singapore,2.0,4.0,0.16,0.1,30.33,6.192297267940668,17.45,1.0,62.35194497184573,21.891644866911538,342.28,1.0
Ecuador,2.0,6.0,0.04,0.1,71.68686868686869,8.11228152392391,35.02020202020202,0.99,85.86176900123947,13.851739100314418,118.39,1.0
Sierra Leone,2.0,6.0,0.04,0.1,67.84848484848484,8.013208020695041,42.525252525252526,0.99,81.26773644913305,15.892243243346446,128.01,1.0
Singapore,2.0,6.0,0.04,0.1,49.50515463917526,6.908816395465601,45.68041237113402,0.97,70.9882407199503,23.439630762538656,247.09,1.0
